Sample in Buffer,Sample in Window,TRIGGER,daq_stream[0]_1[31:0],daq_stream[1]_1[31:0],daq_stream_k[0]_1[3:0],daq_stream_k[1]_1[3:0],daq_data_type[0][1:0],daq_data_type[1][1:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
120,120,0,440e30e0,000000bc,0,1,0,3
121,121,0,ccd45012,000000bc,0,1,0,3
122,122,0,c18f962d,000000bc,0,1,0,3
123,123,0,1b90b121,000000bc,0,1,0,3
124,124,0,6027c657,000000bc,0,1,0,3
125,125,0,9508d022,000000bc,0,1,0,3
126,126,0,c971bc45,000000bc,0,1,0,3
127,127,0,40fb0b4c,000000bc,0,1,0,3
128,128,0,7c72a1ca,000000bc,0,1,0,3
129,129,0,fdcd402d,000000bc,0,1,0,3
130,130,0,2e082791,000000bc,0,1,0,3
131,131,0,d1c74820,000000bc,0,1,0,3
132,132,0,f4345437,000000bc,0,1,0,3
133,133,0,07f3d98c,000000bc,0,1,0,3
134,134,0,00000000,000000bc,0,1,0,3
135,135,0,0143e7dc,000000bc,1,1,0,3
136,136,0,000000bc,000000bc,1,1,2,3
137,137,0,000000bc,000000bc,1,1,3,3
138,138,0,000000bc,000000bc,1,1,3,3
139,139,0,0000003c,000000bc,1,1,1,3
140,140,0,03c00000,000000bc,0,1,0,3
141,141,0,4ff23749,000000bc,0,1,0,3
142,142,0,0125e088,000000bc,0,1,0,3
143,143,0,03c08000,000000bc,0,1,0,3
144,144,0,7fd4f000,000000bc,0,1,0,3
145,145,0,cffc0030,000000bc,0,1,0,3
146,146,0,08002001,000000bc,0,1,0,3
147,147,0,ff0ff300,000000bc,0,1,0,3
148,148,0,3fe8ff63,000000bc,0,1,0,3
149,149,0,4001c004,000000bc,0,1,0,3
150,150,0,06000800,000000bc,0,1,0,3
151,151,0,ffd3ffc0,000000bc,0,1,0,3
152,152,0,00033ffc,000000bc,0,1,0,3
153,153,0,200083fd,000000bc,0,1,0,3
154,154,0,034ff800,000000bc,0,1,0,3
155,155,0,001cfff0,000000bc,0,1,0,3
156,156,0,90044ff6,000000bc,0,1,0,3
157,157,0,0a3fe8ff,000000bc,0,1,0,3
158,158,0,00500280,000000bc,0,1,0,3
159,159,0,8ff6002c,000000bc,0,1,0,3
160,160,0,18fef001,000000bc,0,1,0,3
161,161,0,00000100,000000bc,0,1,0,3
162,162,0,00000050,000000bc,0,1,0,3
163,163,0,1001400b,000000bc,0,1,0,3
164,164,0,f9000000,000000bc,0,1,0,3
165,165,0,fff3fe4f,000000bc,0,1,0,3
166,166,0,00043fc4,000000bc,0,1,0,3
167,167,0,28005004,000000bc,0,1,0,3
168,168,0,ff8ff100,000000bc,0,1,0,3
169,169,0,00040083,000000bc,0,1,0,3
170,170,0,73fe8009,000000bc,0,1,0,3
171,171,0,f8000400,000000bc,0,1,0,3
172,172,0,ffc3fbcf,000000bc,0,1,0,3
173,173,0,cffe003c,000000bc,0,1,0,3
174,174,0,e4fff004,000000bc,0,1,0,3
175,175,0,0180023f,000000bc,0,1,0,3
176,176,0,00100010,000000bc,0,1,0,3
177,177,0,f0020010,000000bc,0,1,0,3
178,178,0,013fe8ff,000000bc,0,1,0,3
179,179,0,ff93fdc0,000000bc,0,1,0,3
180,180,0,cff80014,000000bc,0,1,0,3
181,181,0,04003001,000000bc,0,1,0,3
182,182,0,008ff700,000000bc,0,1,0,3
183,183,0,3ff8ffe0,000000bc,0,1,0,3
184,184,0,00008ff6,000000bc,0,1,0,3
185,185,0,ed0044ff,000000bc,0,1,0,3
186,186,0,ff80044f,000000bc,0,1,0,3
187,187,0,c0000034,000000bc,0,1,0,3
188,188,0,50ffd002,000000bc,0,1,0,3
189,189,0,058ffd00,000000bc,0,1,0,3
190,190,0,001cfe60,000000bc,0,1,0,3
191,191,0,53fecfe8,000000bc,0,1,0,3
192,192,0,f03fd800,000000bc,0,1,0,3
193,193,0,ff80018f,000000bc,0,1,0,3
194,194,0,cffb0048,000000bc,0,1,0,3
195,195,0,e8ff53ff,000000bc,0,1,0,3
196,196,0,fd0ff03f,000000bc,0,1,0,3
197,197,0,3fd8ffe3,000000bc,0,1,0,3
198,198,0,20020007,000000bc,0,1,0,3
199,199,0,0d3fe000,000000bc,0,1,0,3
200,200,0,00900200,000000bc,0,1,0,3
201,201,0,8c7015e0,000000bc,0,1,0,3
202,202,0,98057270,000000bc,0,1,0,3
203,203,0,9642503c,000000bc,0,1,0,3
204,204,0,33ec3b90,000000bc,0,1,0,3
205,205,0,123a4b4c,000000bc,0,1,0,3
206,206,0,7921fc58,000000bc,0,1,0,3
207,207,0,ea40798c,000000bc,0,1,0,3
208,208,0,02422710,000000bc,0,1,0,3
209,209,0,200563e6,000000bc,0,1,0,3
210,210,0,0fcdef38,000000bc,0,1,0,3
211,211,0,0800df42,000000bc,0,1,0,3
212,212,0,d0c508f7,000000bc,0,1,0,3
213,213,0,d803d0de,000000bc,0,1,0,3
214,214,0,0f937841,000000bc,0,1,0,3
215,215,0,ca4d1ff8,000000bc,0,1,0,3
216,216,0,00b1e1b6,000000bc,0,1,0,3
217,217,0,480c290d,000000bc,0,1,0,3
218,218,0,261c90f0,000000bc,0,1,0,3
219,219,0,21038702,000000bc,0,1,0,3
220,220,0,562d9032,000000bc,0,1,0,3
221,221,0,7831d986,000000bc,0,1,0,3
222,222,0,c2741f3c,000000bc,0,1,0,3
223,223,0,5007311e,000000bc,0,1,0,3
224,224,0,ec43501b,000000bc,0,1,0,3
225,225,0,0c8cc2d3,000000bc,0,1,0,3
226,226,0,0216086e,000000bc,0,1,0,3
227,227,0,422dccc9,000000bc,0,1,0,3
228,228,0,9da3f8c0,000000bc,0,1,0,3
229,229,0,080a20b8,000000bc,0,1,0,3
230,230,0,d88a2205,000000bc,0,1,0,3
231,231,0,79c4473b,000000bc,0,1,0,3
232,232,0,34284600,000000bc,0,1,0,3
233,233,0,9180c0bc,000000bc,0,1,0,3
234,234,0,1412480a,000000bc,0,1,0,3
235,235,0,5482af0f,000000bc,0,1,0,3
236,236,0,8a260a5c,000000bc,0,1,0,3
237,237,0,fcded0f7,000000bc,0,1,0,3
238,238,0,cc00b53b,000000bc,0,1,0,3
239,239,0,0b786832,000000bc,0,1,0,3
240,240,0,72210139,000000bc,0,1,0,3
241,241,0,d02308f1,000000bc,0,1,0,3
242,242,0,08325c46,000000bc,0,1,0,3
243,243,0,440e30e0,000000bc,0,1,0,3
244,244,0,ccd45012,000000bc,0,1,0,3
245,245,0,c18f962d,000000bc,0,1,0,3
246,246,0,1b90b121,000000bc,0,1,0,3
247,247,0,6027c657,000000bc,0,1,0,3
248,248,0,9508d022,000000bc,0,1,0,3
249,249,0,c971bc45,000000bc,0,1,0,3
250,250,0,40fb0b4c,000000bc,0,1,0,3
251,251,0,7c72a1ca,000000bc,0,1,0,3
252,252,0,fdcd402d,000000bc,0,1,0,3
253,253,0,2e082791,000000bc,0,1,0,3
254,254,0,d1c74820,000000bc,0,1,0,3
255,255,0,f4345437,000000bc,0,1,0,3
256,256,0,07f3d98c,000000bc,0,1,0,3
257,257,0,00000000,000000bc,0,1,0,3
258,258,0,01cc89dc,000000bc,1,1,0,3
259,259,0,000000bc,000000bc,1,1,2,3
260,260,0,000000bc,000000bc,1,1,3,3
261,261,0,000000bc,000000bc,1,1,3,3
262,262,0,0000003c,000000bc,1,1,1,3
263,263,0,03c00000,000000bc,0,1,0,3
264,264,0,4ff23769,000000bc,0,1,0,3
265,265,0,0125e088,000000bc,0,1,0,3
266,266,0,03c0a000,000000bc,0,1,0,3
267,267,0,0164f000,000000bc,0,1,0,3
268,268,0,4ffe003c,000000bc,0,1,0,3
269,269,0,14005002,000000bc,0,1,0,3
270,270,0,ffcff400,000000bc,0,1,0,3
271,271,0,3ffcff83,000000bc,0,1,0,3
272,272,0,50024001,000000bc,0,1,0,3
273,273,0,08000c00,000000bc,0,1,0,3
274,274,0,fff00080,000000bc,0,1,0,3
275,275,0,00053ffc,000000bc,0,1,0,3
276,276,0,280083fe,000000bc,0,1,0,3
277,277,0,03cffe00,000000bc,0,1,0,3
278,278,0,00240060,000000bc,0,1,0,3
279,279,0,30054ffd,000000bc,0,1,0,3
280,280,0,093fec00,000000bc,0,1,0,3
281,281,0,008002c0,000000bc,0,1,0,3
282,282,0,8ff90030,000000bc,0,1,0,3
283,283,0,1cff3001,000000bc,0,1,0,3
284,284,0,01000400,000000bc,0,1,0,3
285,285,0,00040040,000000bc,0,1,0,3
286,286,0,1001c00f,000000bc,0,1,0,3
287,287,0,fa3ff400,000000bc,0,1,0,3
288,288,0,0023fe8f,000000bc,0,1,0,3
289,289,0,80053fcc,000000bc,0,1,0,3
290,290,0,34007004,000000bc,0,1,0,3
291,291,0,ff4ff000,000000bc,0,1,0,3
292,292,0,000800a3,000000bc,0,1,0,3
293,293,0,83ff400a,000000bc,0,1,0,3
294,294,0,fc001000,000000bc,0,1,0,3
295,295,0,ffb3fc8f,000000bc,0,1,0,3
296,296,0,40030038,000000bc,0,1,0,3
297,297,0,ec006005,000000bc,0,1,0,3
298,298,0,0200063f,000000bc,0,1,0,3
299,299,0,00140040,000000bc,0,1,0,3
300,300,0,2002000e,000000bc,0,1,0,3
301,301,0,083fe800,000000bc,0,1,0,3
302,302,0,ffb3fe40,000000bc,0,1,0,3
303,303,0,cffc0018,000000bc,0,1,0,3
304,304,0,04007001,000000bc,0,1,0,3
305,305,0,00cff800,000000bc,0,1,0,3
306,306,0,3ffc0000,000000bc,0,1,0,3
307,307,0,40014ff9,000000bc,0,1,0,3
308,308,0,ee0040ff,000000bc,0,1,0,3
309,309,0,ff9004cf,000000bc,0,1,0,3
310,310,0,00030044,000000bc,0,1,0,3
311,311,0,5c000003,000000bc,0,1,0,3
